Brand,Annual Leave & Public Holidays,"Anti-bribery, Corruption & Presentation of False Information",Biodiversity & Conservation ,Child Labour ,Community Engagement,"Contracts & Terms of Employment (including notice period, dismissal & disciplinary action)",Discrimination,Energy & Greenhouse Gas Emissions,Equal Pay ,Forced & Bonded Labour,Foreign & Migrant Labour ,"Freedom of Association, Right to Organise & Collective Bargaining ",Harassment & Violence,Health & Safety,Homeworking,Living Conditions/Dormitories,Manufacturing Restricted Substances List (MRSL),Maternity Rights & Parental Leave ,Overtime Pay,Subcontracting,"Wages & Financial Benefits (e.g. bonuses, insurance, social security, pensions)",Waste & Recycling (Packaging/Office/Facility),Waste & Recycling (Product/Textiles) ,Water Effluents & Treatment,Water Consumption,Working Hours & Rest Breaks,"Does the company state that its supplier/vendor policies are based on credible international standards such as the Ethical Trading Initiative Base Code, relevant UN and ILO Conventions, OECD Guidelines for Multinational Enterprises or the UN Global Compact",Does the company publish whether the policy (or policies) is part of the purchase agreement or if a supplier signature is required,Publishes translations of the supplier/vendor policies/CoC in local languages of production/sourcing countries,Total
La Redoute,0,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0.25,0.5,1,0,4.75
Lacoste,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,0,7.25
Lands' End,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,1,0,5.75
LC Waikiki,0.25,0,0,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,0.5,0,0,3.75
Levi Strauss & Co,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,0,8
Lidl,0,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0.25,0.25,0,0,0.25,0,0.25,0.5,0,1,5.25
Lindex,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.5,1,0,6.75
Li-Ning,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0,1,6
LL Bean,0,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0.25,0,1,0,3
Longchamp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louis Vuitton,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,7.5
Lululemon,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,0,7.25
Macy's,0,0,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0.5,1,0,4.75
Mammut,0,0,0,0.25,0,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0.25,0.5,1,0,4.25
Mango,0,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0,0,0.25,0,0.25,0.5,1,1,6.25
Marc Jacobs,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,7.5
Marks & Spencer,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,8.25
Marni,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.5,1,0,6.25
Massimo Dutti,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,8.25
Matalan,0,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0.5,1,1,6.5
Max Mara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merrell,0,0.25,0.25,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0,1,0,4.5
Metersbonwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Kors,0,0.25,0,0.25,0,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,4
Miu Miu,0,0.25,0,0.25,0.25,0,0.25,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0.5,1,1,5.25
Mizuno,0,0.25,0,0.25,0.25,0,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.5,0,1,5.5
Moncler,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.5,0,1,6.25
Monoprix,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,0,7
Morrisons,0,0.25,0,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0.5,1,0,5.5
MRP,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,0,6.5
Muji,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0,0.25,0.25,0.25,0,0,0,0.25,0.5,1,1,7.25
New Balance,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,0,7.5
New Look,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,0,7.25
New Yorker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Next,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,8
Nike,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0,1,8
Nine West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Nordstrom,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.5,1,1,6.75
Old Navy,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,8.25
Otto,0,0.25,0,0.25,0,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0.5,1,0,4.75
OVS,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,9
Paris,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,0,6.5
Patagonia,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,8.5
Pepe Jeans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pimkie,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.5,1,0,7.25
Prada,0,0.25,0,0.25,0.25,0,0.25,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0.5,1,1,5.25
PrettyLittleThing,0,0.25,0,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0,0,0.25,0,0.25,0,1,0,5.25
Primark,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,7.75
Prisma,0,0.25,0,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0.5,1,1,6.25
Pull&Bear,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,8.25
Puma,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,8.75
Quiksilver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralph Lauren,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,1,0,6
Reebok,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,8.75
REI,0,0,0,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0.25,0.5,1,0,4.25
Reliance Trends,0,0.25,0,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75
Reserved,0,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0.25,0.25,0,0,0,0,0,0,0.25,0.5,1,1,5.75
REVOLVE,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
River Island,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.5,1,0,6.25
Ross Dress for Less,0,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0.25,0,1,0,3.75
Roxy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Athletic,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0,0,1,6.25
s.Oliver,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,8
Sainsbury's,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,0,0,4.5
SAINT LAURENT,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,0,1,7
Saks Fifth Avenue,0.25,0.25,0,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0.5,0,0,4.5
Salvatore Ferragamo,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0.5,1,1,6.75
Sandro,0,0.25,0,0.25,0,0.25,0.25,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0.5,0,0,2.75
Semir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEIN,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Skechers,0,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0,0,4.5
Speedo,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,0,7
Splash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sports Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Madden,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,0,6.25
Stradivarius,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,8.25
Superdry,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,0,7
Takko,0,0.25,0,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0.5,1,0,5.25
Target,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,8.75
Target Australia,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,8
Tchibo,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,8
Ted Baker,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,0,6.75
Tesco ,0,0,0,0.25,0,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0,0,0,0.25,0.5,0,1,5.25
Tezenis,0,0.25,0.25,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,1,0,3.75
The Children's Place,0,0,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.5,0,0,4.25
The North Face,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,8.5
The Warehouse,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.5,1,1,7.5
Timberland,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,8.5
TJ Maxx,0,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0,0,0,0.25,0.25,0.5,1,0,5.25
Tod's,0,0.25,0,0.25,0,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0.25,0.25,0,0.25,0,0,0.25,0,0.5,0,0,3.25
Tom Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Tailor,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,7.5
Tommy Bahama,0,0,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0,2.75
Tommy Hilfiger,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,0,7.5
Topman,0,0,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.5,1,1,7.25
Topshop,0,0,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.5,1,1,7.25
TOPVALU COLLECTION,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,8
Tory Burch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triumph,0,0.25,0,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0.25,0.5,0,0,4.25
Truworths,0,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0,0,3.75
UGG,0,0,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,6.75
Under Armour,0,0.25,0,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0,0,0,0.25,0.5,1,0,5.25
Uniqlo,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,8
United Arrows,0,0,0,0.25,0,0,0.25,0,0,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,1,0,2.75
United Colors of Benetton,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,8.5
Urban Outfitters,0,0.25,0,0.25,0,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0.5,1,0,4
Valentino,0,0.25,0.25,0.25,0,0,0.25,0.25,0,0,0,0,0.25,0.25,0,0,0.25,0,0,0,0,0.25,0,0,0,0.25,0,1,0,3.5
Van Heusen,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,0,7.5
Vans,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,8.5
Vero Moda,0,0.25,0,0.25,0,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,0,6
Versace,0,0.25,0,0.25,0,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,4
Very,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.5,1,0,7
Victoria's Secret,0,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0.25,0.5,1,1,6
Walmart,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0,0.25,0.5,1,1,7
Woolworths South Africa,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.5,1,0,6.75
Wrangler,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,1,0,6.5
Youngor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zalando,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,8.25
Zara,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,8.25
Zeeman,0,0.25,0,0.25,0,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.5,1,1,7
