Brand,Animal Welfare,Annual Leave & Public Holidays,"Anti-bribery, Corruption & Presentation of False Information",Biodiversity & Conservation ,Child Labour ,Community Engagement,"Contracts & Terms of Employment (including notice period, dismissal & disciplinary action)",Discrimination ,Diversity & Inclusion ,Energy & Greenhouse Gas Emissions,Equal Pay ,Forced & Bonded Labour,Foreign & Migrant Labour ,"Freedom of Association, Right to Organise & Collective Bargaining ",Harassment & Violence,Health & Safety,Homeworking,Living Conditions/Dormitories,Manufacturing Restricted Substances List (MRSL),Maternity Rights & Parental Leave ,Mental Health & Wellbeing,Overtime Pay,Restricted Substances List (RSL),Subcontracting,"Wages & Benefits (e.g. bonuses, insurance, social security, pensions)",Waste & Recycling (Packaging/Office/Facility/Retail),Waste & Recycling (Product/Textiles) ,Water Effluents & Treatment,Water Consumption,Working Hours & Rest Breaks,Total
LL Bean,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,2.5
Longchamp,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,3
Louis Vuitton,0.5,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,12
Lululemon,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,13.5
Macy's,0,0,0.5,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0.5,7
Mammut,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,8.5
Mango,0.5,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,9
Marc Jacobs,0.5,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,12
Marks & Spencer,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,11.5
Marni,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Massimo Dutti,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,13
Matalan,0,0,0,0.5,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,4
Max Mara,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Merrell,0.5,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0.5,0,5.5
Metersbonwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Kors,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0.5,0.5,0,9
Miu Miu,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0.5,7
Mizuno,0,0.5,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0,0,0.5,0,0.5,0,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0,0,0,0,6.5
Moncler,0.5,0,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,9
Monoprix,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0,0,0.5,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0.5,0.5,9
Morrisons,0.5,0,0,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0,0.5,0,8
MRP,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0.5,0,4.5
Muji,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0.5,10
New Balance,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,14.5
New Look,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,9.5
New Yorker,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Next,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,13.5
Nike,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,14
Nine West,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
Nordstrom,0.5,0,0.5,0.5,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0.5,8
Old Navy,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,14
Otto,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,6.5
OVS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,13
Paris,0,0,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,4
Patagonia,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11
Pepe Jeans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5
Pimkie,0.5,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,4.5
Prada,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0.5,7
PrettyLittleThing,0,0,0.5,0,0,0.5,0.5,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0,0,0,6.5
Primark,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,13
Prisma,0.5,0,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0,8
Pull&Bear,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,13
Puma,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,13.5
Quiksilver,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Ralph Lauren,0.5,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,10
Reebok,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,14.5
REI,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0.5,0.5,0.5,0.5,0,0,7.5
Reliance Trends,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0,5.5
Reserved,0.5,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,5.5
REVOLVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
River Island,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0.5,0,0.5,0.5,0,0,0.5,9.5
Ross Dress for Less,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,2.5
Roxy,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Russell Athletic,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0.5,0.5,9.5
s.Oliver,0.5,0,0,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,6.5
Sainsbury's,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,10
SAINT LAURENT,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,12.5
Saks Fifth Avenue,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0,0,0,0.5,6
Salvatore Ferragamo,0.5,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0.5,0.5,7.5
Sandro,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0.5,0.5,0,0,0,5
Semir,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
SHEIN,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Skechers,0,0,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,5
Speedo,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,12.5
Splash,0,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0.5,0,6
Sports Direct,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0.5,0,5
Steve Madden,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,6
Stradivarius,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,13
Superdry,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,11.5
Takko,0,0,0.5,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0.5,5.5
Target,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,14
Target Australia,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,12
Tchibo,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,14
Ted Baker,0.5,0.5,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0.5,8
Tesco ,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,14
Tezenis,0,0,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,5
The Children's Place,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0.5,0,5.5
The North Face,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,14
The Warehouse,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,13
Timberland,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,14
TJ Maxx,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0.5,0.5,0,7.5
Tod's,0,0,0.5,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0.5,0,4.5
Tom Ford,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Tom Tailor,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,10
Tommy Bahama,0.5,0,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,3.5
Tommy Hilfiger,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,14.5
Topman,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,10.5
Topshop,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,10.5
TOPVALU COLLECTION,0,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0.5,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0.5,0,0.5,7
Tory Burch,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Triumph,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Truworths,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0,0.5,0.5,7.5
UGG,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0,0.5,0,0,0.5,0.5,0.5,0.5,0,8.5
Under Armour,0.5,0,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0,0.5,0,0,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0,8.5
Uniqlo,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,12
United Arrows,0,0.5,0.5,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,8.5
United Colors of Benetton,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,15
Urban Outfitters,0,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,5
Valentino,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,3
Van Heusen,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,14.5
Vans,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,14
Vero Moda,0.5,0,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,9
Versace,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0.5,0.5,0,9
Very,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0.5,0,10.5
Victoria's Secret,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0,9
Walmart,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,9.5
Woolworths South Africa,0.5,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,8.5
Wrangler,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,12.5
Youngor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zalando,0.5,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,10.5
Zara,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,13
Zeeman,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,9.5
