Brand,Animal Welfare,Annual Leave & Public Holidays,"Anti-bribery, Corruption, & Presentation of False Information",Biodiversity & Conservation ,Community Engagement,Discrimination,Diversity & Inclusion ,Energy & Greenhouse Gas Emissions,Equal Pay ,"Freedom of Association, Right to Organise & Collective Bargaining ",Harassment & Violence,Health & Safety,Maternity Rights & Parental Leave ,Mental Health & Wellbeing,Restricted Substance List (RSL),"Wages & Financial Benefits (e.g. bonuses, insurance, social security, pensions)",Waste & Recycling (Packaging/Office/Retail),Waste & Recycling (Product/Textiles) ,Water Consumption,Working Hours & Rest Breaks,Total
Ralph Lauren,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,4.5
Reebok,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,3.75
REI,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,3.25
Reliance Trends,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0,0,0.25,0,0.25,0,3
Reserved,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0,0.25,0,3.25
REVOLVE,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
River Island,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.75
Ross Dress for Less,0,0,0.25,0,0.25,0.25,0.25,0.25,0,0,0,0.25,0,0,0,0.25,0.25,0,0,0,2
Roxy,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
Russell Athletic,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,3.75
s.Oliver,0.25,0,0.25,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,2.5
Sainsbury's,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,4.25
SAINT LAURENT,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,4.5
Saks Fifth Avenue,0,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0,0.25,0,0,0.25,0,0.25,0,2.5
Salvatore Ferragamo,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0,0.25,0.25,4
Sandro,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,4.25
Semir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEIN,0.25,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0,0,0,1
Skechers,0,0,0.25,0,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0,0.25,0,0.25,0.25,0,0,0.25,2.75
Speedo,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.75
Splash,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,2.25
Sports Direct,0,0,0.25,0,0.25,0.25,0.25,0.25,0,0,0,0.25,0,0.25,0,0.25,0.25,0,0,0,2.25
Steve Madden,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0,4
Stradivarius,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,4.25
Superdry,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.75
Takko,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Target,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,4
Target Australia,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0,0.25,0.25,4.25
Tchibo,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,4
Ted Baker,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0,0.25,0,0,0,0.25,0.25,0.25,0,0,2.75
Tesco ,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,4.5
Tezenis,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,3.5
The Children's Place,0,0,0.25,0,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0,0,0,0.25,0,0,0,0.25,2.25
The North Face,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.75
The Warehouse,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0,0.25,3.5
Timberland,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.75
TJ Maxx,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0,0,0.25,0.25,0,0.25,0.25,3.25
Tod's,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0,0.25,0,0.25,0,3.25
Tom Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Tailor,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,3.75
Tommy Bahama,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0,0,0.25,0.25,0,0,0.25,2.75
Tommy Hilfiger,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,4.5
Topman,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0.25,0.25,0,0,0.25,0.25,0,0,0.25,3
Topshop,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0.25,0.25,0,0,0.25,0.25,0,0,0.25,3
TOPVALU COLLECTION,0,0,0,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0,0.25,0,3
Tory Burch,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Triumph,0,0,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0.25,0.25,0,0,0.25,2.75
Truworths,0,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0,0.25,0,0,0.25,0.25,2.75
UGG,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,4
Under Armour,0,0,0.25,0,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0,3
Uniqlo,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.75
United Arrows,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0,0,2.5
United Colors of Benetton,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,4.25
Urban Outfitters,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0,2.75
Valentino,0.25,0,0.25,0.25,0,0.25,0,0.25,0,0,0.25,0.25,0,0.25,0.25,0,0.25,0,0,0.25,2.75
Van Heusen,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,4.5
Vans,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.75
Vero Moda,0.25,0,0.25,0,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0,0,0.25,0,0.25,0.25,0.25,0,3
Versace,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0,3
Very,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0,0,4
Victoria's Secret,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.25,0.25,4
Walmart,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,4.75
Woolworths South Africa,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0,0.25,0,3.75
Wrangler,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0,0,0.25,0.25,0.25,0,0.25,0,3.5
Youngor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zalando,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.5
Zara,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0.25,4.25
Zeeman,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0,0,0,0,0,0.25,0,0.25,0.25,0.25,0,0,2.5
